tarih,şehirkodu,şehir,vaka,ölüm
01-04-2020,1,Adana,197,3
01-04-2020,2,Adıyaman,26,0
01-04-2020,3,Afyonkarahisar,11,0
01-04-2020,4,Ağrı,29,0
01-04-2020,5,Amasya,24,1
01-04-2020,6,Ankara,712,7
01-04-2020,7,Antalya,95,2
01-04-2020,8,Artvin,15,0
01-04-2020,9,Aydın,12,1
01-04-2020,10,Balıkesir,87,5
01-04-2020,11,Bilecik,5,0
01-04-2020,12,Bingöl,8,0
01-04-2020,13,Bitlis,22,0
01-04-2020,14,Bolu,6,0
01-04-2020,15,Burdur,2,0
01-04-2020,16,Bursa,135,2
01-04-2020,17,Çanakkale,24,2
01-04-2020,18,Çankırı,13,0
01-04-2020,19,Çorum,29,1
01-04-2020,20,Denizli,81,2
01-04-2020,21,Diyarbakır,26,2
01-04-2020,22,Edirne,89,2
01-04-2020,23,Elazığ,9,1
01-04-2020,24,Erzincan,17,1
01-04-2020,25,Erzurum,86,0
01-04-2020,26,Eskişehir,83,1
01-04-2020,27,Gaziantep,37,1
01-04-2020,28,Giresun,61,1
01-04-2020,29,Gümüşhane,12,0
01-04-2020,30,Hakkâri,7,0
01-04-2020,31,Hatay,22,0
01-04-2020,32,Isparta,268,1
01-04-2020,33,Mersin,9,0
01-04-2020,34,İstanbul,8852,117
01-04-2020,35,İzmir,853,18
01-04-2020,36,Kars,25,0
01-04-2020,37,Kastamonu,13,0
01-04-2020,38,Kayseri,109,1
01-04-2020,39,Kırklareli,35,0
01-04-2020,40,Kırşehir,4,0
01-04-2020,41,Kocaeli,410,8
01-04-2020,42,Konya,584,7
01-04-2020,43,Kütahya,5,0
01-04-2020,44,Malatya,49,1
01-04-2020,45,Manisa,65,1
01-04-2020,46,Kahramanmaraş,15,1
01-04-2020,47,Mardin,34,0
01-04-2020,48,Muğla,43,1
01-04-2020,49,Muş,11,0
01-04-2020,50,Nevşehir,18,0
01-04-2020,51,Niğde,3,0
01-04-2020,52,Ordu,73,0
01-04-2020,53,Rize,88,3
01-04-2020,54,Sakarya,207,3
01-04-2020,55,Samsun,112,1
01-04-2020,56,Siirt,32,0
01-04-2020,57,Sinop,31,1
01-04-2020,58,Sivas,67,1
01-04-2020,59,Tekirdağ,101,0
01-04-2020,60,Tokat,80,3
01-04-2020,61,Trabzon,74,5
01-04-2020,62,Tunceli,6,0
01-04-2020,63,Şanlıurfa,11,0
01-04-2020,64,Uşak,38,1
01-04-2020,65,Van,26,0
01-04-2020,66,Yozgat,13,2
01-04-2020,67,Zonguldak,112,5
01-04-2020,68,Aksaray,4,0
01-04-2020,69,Bayburt,18,0
01-04-2020,70,Karaman,12,0
01-04-2020,71,Kırıkkale,22,1
01-04-2020,72,Batman,7,0
01-04-2020,73,Şırnak,3,0
01-04-2020,74,Bartın,8,0
01-04-2020,75,Ardahan,5,0
01-04-2020,76,Iğdır,25,0
01-04-2020,77,Yalova,46,0
01-04-2020,78,Karabük,10,0
01-04-2020,79,Kilis,16,0
01-04-2020,80,Osmaniye,31,1
01-04-2020,81,Düzce,21,0
